,0,1,2
375,82291506,0,50
376,82285085,0,315
377,82314510,0,76
378,82284882,0,56
379,82285926,0,84
380,80680394,0,72
381,82320830,0,98
382,80685012,0,160
383,82263702,0,100
384,82296751,0,240
385,82316054,0,120
386,82284873,0,98
387,82309068,0,88
388,82314807,0,80
389,82325529,0,68
390,82320268,0,205
391,82249717,0,100
392,82312544,0,100
393,82296765,0,280
394,82305753,0,40
395,82310524,0,180
396,82284875,0,78
397,80683582,0,189
398,82315679,0,100
399,82296750,0,222
